jnstrans|peserta|date|appsaldo|apptunai|apptranf|decsaldo|dectunai|dectranf|decbebas|Napptunai|Napptranf|Total|Ntotal|bln|mth
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN ANZ INDONE|ANZ INDONE|12/31/2018|0|0|0|0|0|0|0|0|0|0|0|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN ARTHA GRHA|ARTHA GRHA|12/31/2018|41|135|22|1|2|0|7|112700000|114906500|208|227606500|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN ATM PRIMA|ATM PRIMA|12/31/2018|0|0|0|0|0|0|0|0|0|0|0|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN B N I|B N I|12/31/2018|12479|44291|8496|1507|3335|2|2867|33365930000|18212313116|72977|51578243116|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN B R I|B R I|12/31/2018|21142|68268|19052|2995|5542|0|5898|53162850000|41011570028|122897|94174420028|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN B T N|B T N|12/31/2018|10|58|182|1|5|0|13|43600000|325608000|269|369208000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN BPD BNTEN|BPD BNTEN|12/31/2018|88|435|35|12|31|0|44|287150000|70644121|645|357794121|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN BPD DIY|BPD DIY|12/31/2018|157|643|73|17|29|0|16|384200000|174104092|935|558304092|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN BPD KALTIM|BPD KALTIM|12/31/2018|82|371|72|14|21|0|22|294550000|184013307|582|478563307|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN BRI SYARH|BRI SYARH|12/31/2018|81|363|51|11|27|0|16|272400000|102717592|549|375117592|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN BUKOPIN|BUKOPIN|12/31/2018|205|1044|172|36|85|0|51|695450000|384934173|1593|1080384173|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN CCB INDSIA|CCB INDSIA|12/31/2018|2|7|1|3|1|0|1|2550000|3200000|15|5750000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN CIMB NIAGA|CIMB NIAGA|12/31/2018|1391|9607|1052|203|848|1|271|6035450000|2469334999|13373|8504784999|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN CTBC INDSA|CTBC INDSA|12/31/2018|0|1|0|0|0|0|2|200000|0|3|200000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN D K I|D K I|12/31/2018|0|1969|856|0|144|0|105|1441340000|2923129065|3074|4364469065|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN HSBC INSIA|HSBC INSIA|12/31/2018|4|89|4|0|1|0|4|57750000|10332000|102|68082000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN J A T I M|J A T I M|12/31/2018|192|670|65|33|75|0|96|521600000|149133352|1131|670733352|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN JTRUST IND|JTRUST IND|12/31/2018|6|61|3|2|2|0|2|49200000|480000|76|49680000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN KALBAR|KALBAR|12/31/2018|79|222|51|11|17|0|8|208500000|156816600|388|365316600|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN M E G A|M E G A|12/31/2018|1|9|3|0|3|0|0|4750000|3000000|16|7750000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN MANDIRI|MANDIRI|12/31/2018|6663|39354|5408|912|4119|0|1874|27862360000|12182217597|58330|40044577597|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN MASPION|MASPION|12/31/2018|7|20|5|0|3|0|0|21100000|9977500|35|31077500|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN MAYBANK ID|MAYBANK ID|12/31/2018|365|2003|256|68|221|0|100|1380200000|566960982|3013|1947160982|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN MEGA SYARH|MEGA SYARH|12/31/2018|1|9|3|0|3|0|0|4750000|3000000|16|7750000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN NAGARI|NAGARI|12/31/2018|81|304|53|6|19|0|14|148400000|83041672|477|231441672|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN OCBC NISP|OCBC NISP|12/31/2018|566|1036|546|180|67|0|76|636800000|1782014460|2471|2418814460|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN P A P U A|P A P U A|12/31/2018|44|210|30|7|10|0|8|134550000|80970000|309|215520000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN PERMATA|PERMATA|12/31/2018|532|1266|627|132|100|1|103|1045000000|1749274390|2761|2794274390|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN R I A U|R I A U|12/31/2018|32|61|24|4|9|0|2|35100000|22651417|132|57751417|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN RABOBANK|RABOBANK|12/31/2018|1|17|0|0|1|0|1|6000000|0|20|6000000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN SAHABAT|SAHABAT|12/31/2018|0|8|0|0|0|0|0|3550000|0|8|3550000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN SINARMAS|SINARMAS|12/31/2018|99|583|108|22|38|0|32|430000000|265574335|882|695574335|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN SULSELBAR|SULSELBAR|12/31/2018|16|94|0|4|5|0|15|63850000|0|134|63850000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN SUMSELBABL|SUMSELBABL|12/31/2018|145|458|54|20|55|0|27|417550000|197674123|759|615224123|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN SY MANDIRI|SY MANDIRI|12/31/2018|194|760|50|21|62|0|28|518970000|123716897|1115|642686897|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN UOB INDSIA|UOB INDSIA|12/31/2018|12|114|9|0|8|0|0|61400000|21127738|143|82527738|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BCA DI ATM BANK LAIN ANZ INDONE|ANZ INDONE|01/01/2019|0|0|0|0|0|0|0|0|0|0|0|JAN2019|2019-01
