jnstrans|peserta|date|appsaldo|apptunai|apptranf|decsaldo|dectunai|dectranf|decbebas|Napptunai|Napptranf|Total|Ntotal|bln|mth
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA A G R I S|A G R I S|12/31/2018|7|58|4|0|4|0|3|51900000|30700000|76|82600000|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA ANZ INDONE|ANZ INDONE|12/31/2018|0|0|0|0|0|0|0|0|0|0|0|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA ARTHA GRHA|ARTHA GRHA|12/31/2018|301|1189|243|27|91|0|110|991100000|649606941|1961|1640706941|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA B  R  I|B  R  I|12/31/2018|10813|25963|5066|1582|4081|1|1707|15177880000|11543409298|49213|26721289298|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA B N I|B N I|12/31/2018|4469|13950|2300|506|1273|0|753|8552800000|8180289946|23251|16733089946|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BANK MEGA|BANK MEGA|12/31/2018|43|219|68|5|21|0|16|130350000|156854500|372|287204500|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BCA SYARH|BCA SYARH|12/31/2018|0|0|148|0|0|0|11|0|230308143|159|230308143|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BPD BNTEN|BPD BNTEN|12/31/2018|50|162|39|11|21|0|11|123750000|160107005|294|283857005|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BPD DIY|BPD DIY|12/31/2018|23|74|23|4|8|0|7|39850000|60484509|139|100334509|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BPD KALTIM|BPD KALTIM|12/31/2018|98|242|62|5|21|0|11|156800000|117882237|439|274682237|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BRI SYARH|BRI SYARH|12/31/2018|368|1164|197|19|89|0|78|654300000|366872802|1915|1021172802|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BUKOPIN|BUKOPIN|12/31/2018|347|809|184|66|113|0|83|564300000|582227802|1602|1146527802|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA BUMI ARTA|BUMI ARTA|12/31/2018|58|161|84|2|3|0|33|143550000|316324028|341|459874028|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA CCB INDSIA|CCB INDSIA|12/31/2018|681|1849|251|26|79|0|83|1381400000|452483129|2969|1833883129|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA CIMB NIAGA|CIMB NIAGA|12/31/2018|1382|5114|823|193|610|1|242|3237700000|2161752002|8365|5399452002|DEC2018|2018-12
TRANSAKSI SWITCHING ATM NASABAH BANK LAIN DI ATM BCA COMMONWEAL|COMMONWEAL|12/31/2018|174|530|253|29|102|0|62|436370000|805805138|1150|1242175138|DEC2018|2018-12
