jnstrans|date|tunai|cashadv|ceksaldo|payment|berhasil|seluruh|Ntunai|Ncashadv|Nceksaldo|Npayment|Nberhasil|Nseluruh|bln|mth
TRANSAKSI ATM DAN ATMKIOS BCA|12/31/2018|2893338|8947|1184575|95110|4181970|4413054|952723190000|7645100000|0|114926664546.00|0.00|0.00|DEC2018|2018-12
TRANSAKSI ATM DAN ATMKIOS BCA|01/01/2019|2027640|6715|844414|72361|2951130|3114366|1.2005525E12|5327400000|0|71342350785.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/02/2019|2660633|9289|1149772|131724|3951418|4162324|799491720000|8244100000|0|184770118336.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/03/2019|2643389|9265|1150467|126940|3930061|4161884|669600160000|8298900000|0|178079348963.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/04/2019|2751515|9865|1174557|126032|4061969|4287831|798434790000|8870400000|0|164421104492.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/05/2019|2784467|9857|1075953|95919|3966196|4176800|838675820000|8213300000|0|108842168854.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/06/2019|2240677|9034|857579|78318|3185608|3357802|1.0927412E12|7084200000|0|76647660892.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/07/2019|2603668|9899|1114485|128939|3856991|4066975|635712090000|8601100000|0|155002995148.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/08/2019|2454793|9056|1055329|110624|3629802|3825101|584795790000|7570000000|0|134984446743.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/09/2019|2466184|9223|1041654|112188|3629249|3821014|543472430000|7628050000|0|139585451899.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/10/2019|2541303|8954|1083142|115486|3748885|3949352|643982200000|7302800000|0|150419510092.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/11/2019|2563301|9791|1039522|101469|3714083|3911331|556248660000|8001250000|0|118807827356.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/12/2019|2658996|9920|954301|73780|3696997|3895384|805707830000|7792900000|0|71066364961.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/13/2019|1993179|8567|734311|56808|2792865|2945708|1.1988657E12|6160550000|0|51216234271.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/14/2019|2464401|9436|1052636|101476|3627949|3823406|745340280000|7330340000|0|126338539001.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/15/2019|2480298|9041|1076351|97536|3663226|3857881|753438610000|7095050000|0|135928119575.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/16/2019|2350011|8441|985484|86453|3430389|3612183|723180520000|6356300000|0|114615882977.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/17/2019|2324163|8502|944571|92643|3369879|3547622|812094640000|6630550000|0|128345447570.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/18/2019|2498157|9487|1003384|106819|3617847|3816863|584187720000|7278550000|0|177017568067.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/19/2019|2598166|10224|985300|97484|3691174|3969381|778662020000|7561150000|0|123317037635.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/20/2019|2051388|9597|801204|101033|2963222|3168640|1.2151061E12|6429650000|0|104921922689.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/21/2019|2230263|9088|957138|103199|3299688|3515084|887303020000|6711050000|0|146846197160.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/22/2019|2201347|8832|938216|92454|3240849|3442501|927087200000|6434400000|0|136984632640.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/23/2019|2344522|9314|975571|80547|3409954|3615299|791646550000|6750700000|0|116282979885.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/24/2019|2258606|8282|933736|79152|3279776|3469334|773883940000|5991250000|0|129456612050.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/25/2019|3058618|8301|1307482|119718|4494119|4740622|1.0662236E12|6635500000|0|170948255986.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/26/2019|3196358|8678|1211262|96053|4512351|4752174|1.1238446E12|6937500000|0|117603336109.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/27/2019|2345146|7781|871044|69671|3293642|3474301|828857190000|5690700000|0|80267094038.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/28/2019|3021505|8703|1322770|113829|4466807|4706777|1.0421744E12|7237650000|0|169711537540.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/29/2019|2846936|8776|1223074|101638|4180424|4404093|833418910000|7265100000|0|157334314300.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/30/2019|2881711|7971|1249288|99606|4238576|4462524|927403340000|6677350000|0|141479267790.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/31/2019|3561186|8281|1569088|129084|5267639|5537493|887753400000|7785520000|0|168081884429.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|02/01/2019|3433364|8547|1460497|137577|5039985|5325338|1.1252006E12|7756500000|0|191573467697.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/02/2019|3315210|8990|1211887|102770|4638857|4887995|971332530000|7844300000|0|120675023566.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/03/2019|2524019|8212|927792|78548|3538571|3728806|540032160000|6721400000|0|91086729203.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/04/2019|2974128|10150|1188866|123988|4297132|4533295|1.0966671E12|9291700000|0|177631791267.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/05/2019|2323520|8305|915527|75988|3323340|3501058|1.0415224E12|6653550000|0|79033979529.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/06/2019|2560278|9345|1121172|128096|3818891|4023020|554200060000|8016600000|0|162017831479.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/07/2019|2512474|9077|1088690|119656|3729897|3929842|720495720000|7804800000|0|150520293790.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/08/2019|2636343|9201|1111161|111790|3868495|4074734|658451500000|7826950000|0|143150320187.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/09/2019|2719704|9509|1003297|85375|3817885|4020153|859959150000|7654450000|0|83355964919.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/10/2019|2129519|8813|804115|71775|3014222|3176300|1.1768997E12|6595100000|0|63119272838.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/11/2019|2463432|9263|1040528|113103|3626326|3821079|673678620000|7845400000|0|141818043716.00|0.00|0.00|FEB2019|2019-02
