jnstrans|date|CASHOUT|COIDR|CASHIN|CIIDR|bln|mth
CASH DEPOSIT MACHINE|12/31/2018|0|0|716328|184662350000|DEC2018|2018-12
CASH DEPOSIT MACHINE|01/01/2019|0|0|516539|7988094500|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/02/2019|0|0|703726|107105950000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/03/2019|0|0|729759|151145950000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/04/2019|0|0|740385|204972400000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/05/2019|0|0|764506|2833198000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/06/2019|0|0|606690|9475226500|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/07/2019|0|0|775354|257549600000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/08/2019|0|0|709586|124926050000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/09/2019|0|0|698244|82650250000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/10/2019|0|0|682785|63288400000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/11/2019|0|0|689618|93592100000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/12/2019|0|0|715665|1692838000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/13/2019|0|0|546411|8389848500|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/14/2019|0|0|725398|147160650000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/15/2019|0|0|679569|55552000000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/16/2019|0|0|641912|978687100000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/17/2019|0|0|610761|933336600000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/18/2019|0|0|652936|28908500000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/19/2019|0|0|713603|1293036500|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/20/2019|0|0|577003|8653037500|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/21/2019|0|0|669393|45503550000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/22/2019|0|0|620389|954084600000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/23/2019|0|0|638556|961417900000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/24/2019|0|0|591409|895401150000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/25/2019|0|0|665889|47261100000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/26/2019|0|0|710670|1524728500|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/27/2019|0|0|554432|8505358000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/28/2019|0|0|738448|169837300000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/29/2019|0|0|693163|73680550000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/30/2019|0|0|666069|27639150000|JAN2019|2019-01
CASH DEPOSIT MACHINE|01/31/2019|0|0|716091|125050850000|JAN2019|2019-01
CASH DEPOSIT MACHINE|02/01/2019|0|0|750366|198783950000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/02/2019|0|0|796332|3140654500|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/03/2019|0|0|629217|9806654500|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/04/2019|0|0|784869|266981000000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/05/2019|0|0|635616|9849374000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/06/2019|0|0|804251|223230500000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/07/2019|0|0|744755|135409200000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/08/2019|0|0|742327|172108450000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/09/2019|0|0|757494|2222918500|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/10/2019|0|0|605629|9175516500|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/11/2019|0|0|769655|221069100000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/12/2019|0|0|713724|100434800000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/13/2019|0|0|691197|41491200000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/14/2019|0|0|649986|980622550000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/15/2019|0|0|678928|66308500000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/16/2019|0|0|715110|1360919500|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/17/2019|0|0|577949|8660677000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/18/2019|0|0|740721|151206700000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/19/2019|0|0|674681|25857350000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/20/2019|0|0|685169|21366150000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/21/2019|0|0|641716|960307800000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/22/2019|0|0|647312|998803900000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/23/2019|0|0|677011|884676000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/24/2019|0|0|563630|8428959500|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/25/2019|0|0|751995|182817000000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/26/2019|0|0|708754|93044000000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/27/2019|0|0|702974|82239800000|FEB2019|2019-02
CASH DEPOSIT MACHINE|02/28/2019|0|0|789310|245897400000|FEB2019|2019-02
CASH DEPOSIT MACHINE|03/01/2019|0|0|770291|229575500000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/02/2019|0|0|819027|3248163500|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/03/2019|0|0|632757|9834554000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/04/2019|0|0|842551|346264200000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/05/2019|0|0|760208|198456600000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/06/2019|0|0|713778|128015000000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/07/2019|0|0|657873|584843000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/08/2019|0|0|775146|262196850000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/09/2019|0|0|740650|2057845000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/10/2019|0|0|615705|9276808000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/11/2019|0|0|795571|260164600000|MAR2019|2019-03
CASH DEPOSIT MACHINE|03/12/2019|0|0|725898|123226700000|MAR2019|2019-03
