date|jcbint|masterint|visaint|jcblok|masterlok|visalok|jcbon|masteron|visaon|smart|bca|Nomjcbint|Nommasterint|Nomvisaint|Nomjcblok|Nommasterlok|Nomvisalok|Nomjcbon|Nommasteron|Nomvisaon|Nomsmart|Nombca|TotTxn|TotNom|bln|mth
12/31/2018|7853|84914|132543|467|0|0|0|25243|54655|61|67333|20362418556.00|90739287541.00|119020077240.00|329603856.00|0.00|0.00|0|12399848499.00|33415525135.00|25889215.00|31643839770.00|373069|307936489812.00|DEC2018|2018-12
01/01/2019|7408|80432|127015|445|0|0|0|23944|53719|51|61189|16343495980.00|81895794599.00|105817754395.00|389289580.00|0.00|0.00|0|11646011301.00|32268098164.00|26119351.00|27120894506.00|354203|275507457876.00|JAN2019|2019-01
01/02/2019|7252|69216|107668|360|0|0|0|19260|44416|65|47707|21001935627.00|87357929719.00|114706694926.00|240768425.00|0.00|0.00|0|9468764540.00|28366958073.00|142892890.00|24223616509.00|295944|285509560709.00|JAN2019|2019-01
01/03/2019|6780|66109|104200|355|0|0|0|18949|43306|68|46862|20180057676.00|79058783453.00|103934836793.00|309043311.00|0.00|0.00|0|9224047586.00|27687164495.00|280406636.00|24858598507.00|286629|265532938457.00|JAN2019|2019-01
01/04/2019|6509|70051|109680|360|0|0|0|20941|47772|59|51482|18370766816.00|79890777416.00|102677971465.00|386874498.00|0.00|0.00|0|10162281156.00|29641686626.00|42423195.00|26572738465.00|306854|267745519637.00|JAN2019|2019-01
01/05/2019|7235|85548|139120|561|0|0|0|27820|62510|79|67670|18957629557.00|81333451160.00|118058452055.00|515052753.00|0.00|0.00|0|13032950153.00|36453719215.00|83975203.00|33781409971.00|390543|302216640067.00|JAN2019|2019-01
01/06/2019|6286|81402|135168|540|0|0|0|28021|62473|89|70429|12826177350.00|71510463226.00|102623580705.00|457575817.00|0.00|0.00|0|12676359983.00|35484219481.00|60386469.00|32276936963.00|384408|267915699994.00|JAN2019|2019-01
01/07/2019|5116|58020|91707|287|0|0|0|16908|40039|41|45867|14240028192.00|66492760957.00|91170151614.00|261128366.00|0.00|0.00|0|8126700906.00|25848952726.00|51029444.00|25212116590.00|257985|231402868795.00|JAN2019|2019-01
01/08/2019|4956|57582|90656|324|0|0|0|17000|39504|40|41853|12729024871.00|62443576582.00|89343905082.00|376387903.00|0.00|0.00|0|8302246134.00|26344325800.00|49159961.00|22715893567.00|251915|222304519900.00|JAN2019|2019-01
01/09/2019|5066|58253|93205|330|0|0|0|17314|40822|64|42942|13341663140.00|63898395510.00|89295461459.00|309816312.00|0.00|0.00|0|8242203454.00|26462810715.00|110312790.00|23533638589.00|257996|225194301969.00|JAN2019|2019-01
01/10/2019|5724|60179|95788|391|0|0|0|18607|43151|63|45018|12903020575.00|67001205277.00|92012183842.00|321899662.00|0.00|0.00|0|8972822608.00|28163256559.00|254424836.00|24245004911.00|268921|233873818270.00|JAN2019|2019-01
01/11/2019|5743|65525|104174|404|0|0|0|20957|48328|58|51453|16045644187.00|67231951799.00|95154439748.00|344672459.00|0.00|0.00|0|10410004955.00|31467454471.00|40768420.00|26098198287.00|296642|246793134326.00|JAN2019|2019-01
01/12/2019|6351|85954|142629|615|0|0|0|30560|68352|63|71931|12784810885.00|77645872392.00|119288470679.00|555925943.00|0.00|0.00|0|14618272874.00|41411351069.00|99168568.00|37193681022.00|406455|303597553432.00|JAN2019|2019-01
01/13/2019|5964|80637|135663|629|0|0|0|29578|67504|71|74579|12520700584.00|66337189973.00|99507795413.00|533252661.00|0.00|0.00|0|13849418706.00|39014875789.00|42705285.00|33576115981.00|394625|265382054392.00|JAN2019|2019-01
01/14/2019|4729|56766|91860|315|0|0|0|17903|42002|74|48089|12201834416.00|58707383621.00|86068743354.00|320366288.00|0.00|0.00|0|9004828416.00|28474295307.00|162032740.00|25012107374.00|261738|219951591516.00|JAN2019|2019-01
01/15/2019|5661|56910|92534|344|0|0|0|18131|42329|58|44595|12201732482.00|61006873769.00|89807169641.00|279928332.00|0.00|0.00|0|8784882789.00|28639139383.00|43359840.00|24911909066.00|260562|225674995302.00|JAN2019|2019-01
01/16/2019|5555|57903|94212|294|0|0|0|17780|42369|52|43929|14159668946.00|62065135880.00|86410765869.00|289179607.00|0.00|0.00|0|8420807552.00|28785437142.00|187718289.00|23278068042.00|262094|223596781327.00|JAN2019|2019-01
01/17/2019|5957|58262|95217|311|0|0|0|18135|43136|50|44418|15763677165.00|60543651718.00|90234633151.00|270024729.00|0.00|0.00|0|8727350748.00|29017465481.00|43660767.00|23644343308.00|265486|228244807067.00|JAN2019|2019-01
