date|URAIAN|CARDHOLDER|RRPs|TOPUP|PAYMENT|TTXN|TOPUPN|PAYMENTN|bln|mth|RPPs
12/31/2018|IDR|24239190|0|140607|694251|834858|13670840764|13271294640|DEC2018|2018-12|
01/01/2019|IDR|24239188|0|131099|1076025|1207124|12970840296|15799538246|JAN2019|2019-01|
01/02/2019|IDR|24241288|0|157906|902423|1060329|16694355700|12779363807|JAN2019|2019-01|
01/03/2019|IDR|24241288|0|153766|565037|718803|15977308760|6462686094|JAN2019|2019-01|
01/04/2019|IDR|24241288|0|152549|827442|979991|16199485410|24695493941|JAN2019|2019-01|
01/05/2019|IDR|24241288|0|147966|1655705|1803671|14506845930|22393890634|JAN2019|2019-01|
01/06/2019|IDR|24241288|0|131724|710273|841997|12424476190|10101641157|JAN2019|2019-01|
01/07/2019|IDR|24241288|0|152333|823361|975694|15350837060|12718094789|JAN2019|2019-01|
01/08/2019|IDR|24241848|0|142053|1088278|1230331|14620025365|12973061921|JAN2019|2019-01|
01/09/2019|IDR|24242008|0|143275|693688|836963|14645813868|24166545168|JAN2019|2019-01|
01/10/2019|IDR|24243008|0|142607|1035316|1177923|14680154251|12515457948|JAN2019|2019-01|
01/11/2019|IDR|24245458|0|150670|1065909|1216579|15572938520|13427731477|JAN2019|2019-01|
01/12/2019|IDR|24245458|0|144024|1275148|1419172|14025899880|15990133490|JAN2019|2019-01|
01/13/2019|IDR|24245458|0|123734|704655|828389|11546553509|9503361321|JAN2019|2019-01|
01/14/2019|IDR|24245458|0|152575|700520|853095|15410527231|10239698174|JAN2019|2019-01|
01/15/2019|IDR|24247858|0|142527|980392|1122919|14645174923|12312894405|JAN2019|2019-01|
01/16/2019|IDR|24248358|0|142049|1174869|1316918|14381191222|13968944137|JAN2019|2019-01|
01/17/2019|IDR|24249358|0|140064|792408|932472|14503514715|10725920961|JAN2019|2019-01|
01/18/2019|IDR|24250458|0|147061|853946|1001007|15376050768|11673270388|JAN2019|2019-01|
01/19/2019|IDR|24250458|0|145233|995581|1140814|13898850065|13640293799|JAN2019|2019-01|
01/20/2019|IDR|24250458|0|129711|752389|882100|11772609233|10728429841|JAN2019|2019-01|
01/21/2019|IDR|24252768|0|148059|599664|747723|14768396419|8375657733|JAN2019|2019-01|
01/22/2019|IDR|24262768|0|142071|1497929|1640000|14621061948|16514743425|JAN2019|2019-01|
01/23/2019|IDR|24272768|0|143448|1392123|1535571|14624823127|15766659294|JAN2019|2019-01|
01/24/2019|IDR|24283268|0|141914|839612|981526|14778877225|11524226361|JAN2019|2019-01|
01/25/2019|IDR|24323268|0|159867|900448|1060315|17199296742|12146726134|JAN2019|2019-01|
01/26/2019|IDR|24323268|0|154748|1059984|1214732|15611098153|13860417261|JAN2019|2019-01|
01/27/2019|IDR|24323268|0|132656|760520|893176|12983412190|10597828436|JAN2019|2019-01|
01/28/2019|IDR|24334468|0|163477|712120|875597|17185662904|11090202525|JAN2019|2019-01|
01/29/2019|IDR|24344468|0|151182|1433185|1584367|16019696144|16089315153|JAN2019|2019-01|
01/30/2019|IDR|24349468|0|151269|922961|1074230|15746798159|12019666871|JAN2019|2019-01|
01/31/2019|IDR|24354508|0|155199|1113166|1268365|16560924226|12975789054|JAN2019|2019-01|
02/01/2019|IDR|24364508|0|167068|888962|1056030|18862482935|12098705885|FEB2019|2019-02|
02/02/2019|IDR|24364508|0|164940|853342|1018282|17139021724|12656451983|FEB2019|2019-02|
02/03/2019|IDR|24364508|0|141027|620677|761704|13728420101|9317241784|FEB2019|2019-02|
