date|CCY|BUY|Valas_BUY|Idr_BUY|SALE|Valas_SALE|Idr_SALE|TotTxn|bln|mth
12/31/2018|AUD|58|688737.92|7027110732.98|26|171481.80|1752383921.21|84|DEC2018|2018-12
12/31/2018|CAD|7|54198.00|575931911.00|1|12779.25|135817869.00|8|DEC2018|2018-12
12/31/2018|CHF|2|1494.39|22011379.06|9|174821.81|2568830836.29|11|DEC2018|2018-12
12/31/2018|CNY|39|8651429.64|18185430133.32|7|2049145.08|4308063872.50|46|DEC2018|2018-12
12/31/2018|DKK|0|0.00|0.00|0|0.00|0.00|0|DEC2018|2018-12
12/31/2018|EUR|62|829173.66|13710932630.27|101|381668.59|6315009464.78|163|DEC2018|2018-12
12/31/2018|GBP|20|97180.89|1785534505.76|4|11767.26|215685748.76|24|DEC2018|2018-12
12/31/2018|HKD|10|2502276.15|4626563609.18|12|915809.11|1688955427.54|22|DEC2018|2018-12
12/31/2018|JPY|22|67095354.00|8792592307.85|16|20073443.00|2631417020.31|38|DEC2018|2018-12
12/31/2018|NZD|2|21500.00|209155000.00|2|5603.54|54382253.64|4|DEC2018|2018-12
12/31/2018|SAR|0|0.00|0.00|0|0.00|0.00|0|DEC2018|2018-12
12/31/2018|SEK|1|900.00|1457100.00|0|0.00|0.00|1|DEC2018|2018-12
12/31/2018|SGD|82|834595.54|8843758476.44|33|2803714.47|29739791847.39|115|DEC2018|2018-12
12/31/2018|USD|578|34220413.50|495060582870.09|359|37629118.20|544582746751.78|937|DEC2018|2018-12
01/01/2019|LIBUR|0|0.00|0.00|0|0.00|0.00|0|JAN2019|2019-01
01/02/2019|AUD|122|2371612.50|24111036990.45|38|1470031.71|14951893675.30|160|JAN2019|2019-01
01/02/2019|CAD|21|182753.94|1942321280.79|1|6.81|72298.23|22|JAN2019|2019-01
01/02/2019|CHF|0|0.00|0.00|7|35593.55|524463849.02|7|JAN2019|2019-01
01/02/2019|CNY|63|22795751.10|48018439158.33|11|1081043.84|2280807577.91|74|JAN2019|2019-01
01/02/2019|DKK|0|0.00|0.00|0|0.00|0.00|0|JAN2019|2019-01
01/02/2019|EUR|124|1982919.15|32891270699.44|83|588394.41|9766445140.58|207|JAN2019|2019-01
01/02/2019|GBP|31|133046.09|2455668571.10|2|1503.94|27753675.47|33|JAN2019|2019-01
01/02/2019|HKD|17|5164797.27|9559875000.73|4|564835.17|1045208152.15|21|JAN2019|2019-01
01/02/2019|JPY|32|52582395.00|6962277098.48|7|2744466.00|363875433.99|39|JAN2019|2019-01
01/02/2019|NZD|8|21286.18|206672560.61|3|11010.55|106708029.95|11|JAN2019|2019-01
01/02/2019|SAR|1|300000.00|1158600000.00|1|1000.00|3851000.00|2|JAN2019|2019-01
01/02/2019|SEK|3|274279.57|448703155.18|2|88.66|144338.48|5|JAN2019|2019-01
01/02/2019|SGD|115|2980204.69|31614017085.48|35|1081373.16|11480036600.86|150|JAN2019|2019-01
01/02/2019|USD|940|49959267.00|723405206752.65|398|41537107.50|602432459893.81|1338|JAN2019|2019-01
01/03/2019|AUD|172|3350753.20|33657182129.31|32|628199.70|6314089787.12|204|JAN2019|2019-01
01/03/2019|CAD|26|259034.60|2751059284.14|6|5865.00|62194428.40|32|JAN2019|2019-01
01/03/2019|CHF|5|260352.60|3820786404.25|4|5597.84|81929001.16|9|JAN2019|2019-01
01/03/2019|CNY|76|46106218.00|96953384756.14|5|721885.30|1519585701.10|81|JAN2019|2019-01
01/03/2019|DKK|0|0.00|0.00|2|165570.00|362781318.20|2|JAN2019|2019-01
01/03/2019|EUR|137|3094261.15|50842666766.87|91|785661.49|12924943828.03|228|JAN2019|2019-01
01/03/2019|GBP|39|644164.43|11701317701.42|9|18308.63|332528163.17|48|JAN2019|2019-01
01/03/2019|HKD|28|11184183.80|20664833143.24|6|896157.29|1655766736.07|34|JAN2019|2019-01
01/03/2019|JPY|28|83467971.00|11230444264.83|14|20649462.00|2791325961.45|42|JAN2019|2019-01
01/03/2019|NZD|3|5713.44|54888536.08|0|0.00|0.00|3|JAN2019|2019-01
01/03/2019|SAR|1|500.00|1935450.00|0|0.00|0.00|1|JAN2019|2019-01
01/03/2019|SEK|0|0.00|0.00|4|57000.00|91314500.00|4|JAN2019|2019-01
01/03/2019|SGD|172|6732065.33|71349421226.47|31|1469324.05|15577339728.74|203|JAN2019|2019-01
01/03/2019|USD|1277|93944321.10|1359639684247.17|456|74385172.50|1077928844070.34|1733|JAN2019|2019-01
01/04/2019|AUD|179|2801931.49|28129527995.31|25|281349.77|2826591179.83|204|JAN2019|2019-01
01/04/2019|CAD|24|244828.68|2599558367.71|2|1573.10|16752592.47|26|JAN2019|2019-01
01/04/2019|CHF|12|211857.68|3066032037.36|3|118.99|1730021.12|15|JAN2019|2019-01
01/04/2019|CNY|95|52109056.00|108555205386.02|5|1018155.76|2115930993.92|100|JAN2019|2019-01
01/04/2019|DKK|0|0.00|0.00|2|322.86|700766.32|2|JAN2019|2019-01
01/04/2019|EUR|172|8763151.60|142597323668.97|84|418408.72|6821631905.21|256|JAN2019|2019-01
01/04/2019|GBP|61|714153.41|12937595711.17|9|16542.68|298945672.60|70|JAN2019|2019-01
01/04/2019|HKD|17|6632404.66|12129618381.77|7|2247743.68|4095025182.23|24|JAN2019|2019-01
01/04/2019|JPY|42|118112861.00|15620326752.16|3|1315921.00|173777778.32|45|JAN2019|2019-01
01/04/2019|NZD|7|119206.94|1142196188.80|3|7377.51|70548398.19|10|JAN2019|2019-01
01/04/2019|SAR|1|250000.00|951750000.00|0|0.00|0.00|1|JAN2019|2019-01
01/04/2019|SEK|2|936506.68|1490882474.38|4|119785.07|190577640.94|6|JAN2019|2019-01
01/04/2019|SGD|223|6203506.47|65144558095.87|27|1581026.56|16596270623.19|250|JAN2019|2019-01
01/04/2019|USD|2048|118406350.00|1694533016665.67|353|63232165.50|905540473043.24|2401|JAN2019|2019-01
01/05/2019|LIBUR|0|0.00|0.00|0|0.00|0.00|0|JAN2019|2019-01
01/06/2019|LIBUR|0|0.00|0.00|0|0.00|0.00|0|JAN2019|2019-01
01/07/2019|AUD|182|4418371.40|44350548030.74|39|589344.92|5919450817.90|221|JAN2019|2019-01
01/07/2019|CAD|26|244355.64|2574619335.18|9|76743.35|807754512.80|35|JAN2019|2019-01
01/07/2019|CHF|12|50661.17|724455417.68|7|12252.23|174923770.96|19|JAN2019|2019-01
01/07/2019|CNY|109|45085055.80|92647308116.00|14|1778290.75|3655786266.69|123|JAN2019|2019-01
01/07/2019|DKK|0|0.00|0.00|0|0.00|0.00|0|JAN2019|2019-01
01/07/2019|EUR|198|7704620.02|123766990828.58|93|963016.45|15482351191.24|291|JAN2019|2019-01
01/07/2019|GBP|69|917531.05|16474793923.74|4|4754.36|85194118.97|73|JAN2019|2019-01
01/07/2019|HKD|37|9369192.98|16867790907.09|9|1888071.77|3391654474.70|46|JAN2019|2019-01
01/07/2019|JPY|67|258275716.00|33577172513.73|17|119764875.00|15618839822.44|84|JAN2019|2019-01
01/07/2019|NZD|10|123636.85|1175682831.80|4|1947.86|18445471.36|14|JAN2019|2019-01
01/07/2019|SAR|1|500.00|1880110.00|0|0.00|0.00|1|JAN2019|2019-01
01/07/2019|SEK|5|289633.30|457682667.30|1|3200.00|5030400.00|6|JAN2019|2019-01
01/07/2019|SGD|283|5182753.74|53779241689.92|38|1288725.03|13375426371.26|321|JAN2019|2019-01
01/07/2019|USD|2267|115595744.00|1628832988184.72|472|38068606.20|537087676586.90|2739|JAN2019|2019-01
01/08/2019|AUD|140|1691341.34|16980689770.11|37|304193.35|3054040683.05|177|JAN2019|2019-01
01/08/2019|CAD|22|179194.21|1901616309.37|7|23613.32|251038618.93|29|JAN2019|2019-01
01/08/2019|CHF|7|23805.46|342568310.32|9|54964.78|790287886.43|16|JAN2019|2019-01
01/08/2019|CNY|84|48096128.40|98616027056.73|7|3193080.96|6568765884.93|91|JAN2019|2019-01
01/08/2019|DKK|1|21345214.30|45956246568.00|0|0.00|0.00|1|JAN2019|2019-01
01/08/2019|EUR|163|3774563.64|60811643108.43|121|620704.83|10003540909.43|284|JAN2019|2019-01
01/08/2019|GBP|56|847814.85|15232916414.74|10|72048.32|1293623029.50|66|JAN2019|2019-01
01/08/2019|HKD|38|19909985.90|35693252984.30|7|812445.78|1463157016.85|45|JAN2019|2019-01
01/08/2019|JPY|87|299834120.00|38792015731.57|15|59704836.00|7737819642.84|102|JAN2019|2019-01
01/08/2019|NZD|5|38162.02|362966768.84|3|2300.00|21853100.00|8|JAN2019|2019-01
01/08/2019|SAR|1|200.00|755190.00|1|500.00|1864000.00|2|JAN2019|2019-01
01/08/2019|SEK|3|378740.94|598371597.60|0|0.00|0.00|3|JAN2019|2019-01
01/08/2019|SGD|213|7642926.05|79249401392.23|29|2363155.54|24498244493.06|242|JAN2019|2019-01
01/08/2019|USD|1788|90094423.80|1267233642678.92|518|69496290.30|979297990611.68|2306|JAN2019|2019-01
01/09/2019|AUD|95|2201247.49|22266249150.31|40|507341.74|5137088984.48|135|JAN2019|2019-01
01/09/2019|CAD|31|409147.73|4376671832.58|8|28629.60|306344783.51|39|JAN2019|2019-01
