date|userib|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
12/31/2018|7626433|1721419|3383249|2263|0|32422|3764227|26842|529937|0|0|30069|2.2046619E12|24663|230745|111424782517.00|3581383900.00|0.00|0.00|240257396449.00|5726201|2559925428242.00|24663|230745|DEC2018|2018-12
01/01/2019|7629041|1340632|2413970|2608|0|21122|3119741|22899|322672|0|0|0|1.0743104E12|5467|101716|60298306387.00|2914010000.00|0.00|0.00|0.00|4123903|1137522669737.00|5467|101716|JAN2019|2019-01
01/02/2019|7631169|1945168|3518314|2431|0|62819|4281684|33863|581455|0|0|33544|2.6403057E12|19780|343079|186559291133.00|4678849700.00|0.00|0.00|266633057332.00|6177594|3098176939313.00|19780|343079|JAN2019|2019-01
01/03/2019|7635479|1973979|3233799|4363|0|59334|4336951|30110|592812|0|0|27847|2.8423069E12|17429|340640|171554419734.00|4280321800.00|0.00|0.00|243529640816.00|5922244|3261671260846.00|17429|340640|JAN2019|2019-01
01/04/2019|7639568|1924099|3273315|4165|0|64903|4327196|28994|608033|0|0|26772|2.9562607E12|37301|613064|158919283870.00|4073896500.00|0.00|0.00|244086657650.00|5930281|3363340528062.00|37301|613064|JAN2019|2019-01
01/05/2019|7642098|1552246|3056183|2530|0|35149|3741259|23922|506148|0|0|0|2.0393532E12|15400|164451|78435782058.00|3296751200.00|0.00|0.00|0.00|5176178|2121085760826.00|15400|164451|JAN2019|2019-01
01/06/2019|7642923|1212210|2907977|825|0|23471|3088469|21396|332161|0|0|0|1.1483733E12|15123|176700|49913921029.00|2749370800.00|0.00|0.00|0.00|4498040|1201036604989.00|15123|176700|JAN2019|2019-01
01/07/2019|7645403|1945397|3639924|2532|0|73978|4312267|30779|634044|0|0|34738|3.2194817E12|69524|684998|166401242940.00|4469478900.00|0.00|0.00|310112383883.00|6361392|3700464772481.00|69524|684998|JAN2019|2019-01
01/08/2019|7649957|1888749|3160346|4691|0|60685|4236915|26822|586026|0|0|23345|2.9787643E12|32755|342576|152601927801.00|3921977910.00|0.00|0.00|230747731809.00|5750664|3366035962937.00|32755|342576|JAN2019|2019-01
01/09/2019|7653655|1805095|3215782|3759|0|62460|4113843|26047|573229|0|0|20689|2.8193547E12|20542|397035|157727115561.00|3638682700.00|0.00|0.00|206770647963.00|5707061|3187491160913.00|20542|397035|JAN2019|2019-01
