date|useribpt|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
12/31/2018|629869|70380|301903|0|0|3722|0|0|0|14453|172022|24714|0|0|0|233819263060.00|0.00|6938971392516.00|7340403597121.00|10099983462066.00|587194|24613177714763.00|0|0|DEC2018|2018-12
01/01/2019|629874|13727|72234|0|0|289|0|0|0|1429|41570|0|0|0|0|1689509148.00|0.00|229229824513.00|723036865457.00|0.00|129249|953956199118.00|0|0|JAN2019|2019-01
01/02/2019|630158|89594|507097|0|0|4681|0|0|0|14039|152875|19557|0|0|0|163524347359.00|0.00|7740979516454.00|8726340831794.00|9870671450736.00|787843|26501516146343.00|0|0|JAN2019|2019-01
01/03/2019|630430|93061|377942|0|0|7164|0|0|0|13422|174285|23328|0|0|0|240461394387.00|0.00|7236734594128.00|9111378934957.00|8228214487953.00|689202|24816789411425.00|0|0|JAN2019|2019-01
01/04/2019|630703|99371|362551|0|0|10495|0|0|0|15897|209983|28839|0|0|0|276536184727.00|0.00|6555471481933.00|10363390489097.00|9497949345233.00|727136|26693347500990.00|0|0|JAN2019|2019-01
01/05/2019|630703|36068|145713|0|0|2705|0|0|0|3607|99444|0|0|0|0|33773790259.00|0.00|412143516304.00|2062362343779.00|0.00|287537|2508279650342.00|0|0|JAN2019|2019-01
01/06/2019|630703|14565|61097|0|0|690|0|0|0|1057|26652|0|0|0|0|14577276451.00|0.00|166848515812.00|673414452669.00|0.00|104061|854840244932.00|0|0|JAN2019|2019-01
01/07/2019|631011|107698|434777|0|0|16215|0|0|0|16851|194290|31256|0|0|0|351051825736.00|0.00|8569351297018.00|10488085534449.00|11122971209869.00|801087|30531459867072.00|0|0|JAN2019|2019-01
01/08/2019|631342|98964|386945|0|0|20857|0|0|0|15486|189961|27200|0|0|0|404049055460.00|0.00|6638759405845.00|10049011208332.00|10718022728347.00|739413|27809842397984.00|0|0|JAN2019|2019-01
01/09/2019|631710|96439|359233|0|0|30598|0|0|0|14694|177226|25713|0|0|0|789880089973.00|0.00|6777165307035.00|9549883514108.00|8432096648926.00|703903|25549025560042.00|0|0|JAN2019|2019-01
01/10/2019|632053|100712|368869|0|0|46754|0|0|0|14867|198830|28449|0|0|0|1279653062499.00|0.00|6743758768758.00|9155319323912.00|8045121228644.00|758481|25223852383813.00|0|0|JAN2019|2019-01
01/11/2019|632389|99745|380578|0|0|11590|0|0|0|15259|210821|32162|0|0|0|290951953624.00|0.00|6487872219684.00|10686263332925.00|10004716391971.00|750155|27469803898204.00|0|0|JAN2019|2019-01
01/12/2019|632400|32370|141281|0|0|2522|0|0|0|3096|79893|0|0|0|0|25217027170.00|0.00|392815640719.00|1868412865975.00|0.00|259162|2286445533864.00|0|0|JAN2019|2019-01
01/13/2019|632403|13355|59979|0|0|626|0|0|0|1063|23558|0|0|0|0|2587477273.00|0.00|187620891367.00|753298486923.00|0.00|98581|943506855563.00|0|0|JAN2019|2019-01
01/14/2019|632806|104061|433260|0|0|15098|0|0|0|16719|186682|31543|0|0|0|446871338171.00|0.00|7398868843463.00|10083550128765.00|9530622652539.00|787363|27459912962938.00|0|0|JAN2019|2019-01
01/15/2019|633250|101096|397875|0|0|18962|0|0|0|15809|207188|29966|0|0|0|391967737164.00|0.00|7407786284380.00|9956489885042.00|9777379924521.00|770896|27533623831107.00|0|0|JAN2019|2019-01
01/16/2019|633649|92008|356697|0|0|11717|0|0|0|13881|178140|25674|0|0|0|338177047703.00|0.00|5805242821844.00|8509462003019.00|7371697091313.00|678117|22024578963879.00|0|0|JAN2019|2019-01
01/17/2019|634131|92115|355963|0|0|13609|0|0|0|14283|177552|25447|0|0|0|457245211091.00|0.00|5988568897662.00|9244805661738.00|7229925241107.00|678969|22920545011598.00|0|0|JAN2019|2019-01
01/18/2019|634582|100042|377228|0|0|21437|0|0|0|14923|206472|30945|0|0|0|567892225850.00|0.00|7134547182522.00|10139253990051.00|9614491625214.00|751047|27456185023637.00|0|0|JAN2019|2019-01
01/19/2019|634589|34816|143608|0|0|4634|0|0|0|3106|79917|0|0|0|0|48304612806.00|0.00|285004966390.00|1824709600846.00|0.00|266081|2158019180042.00|0|0|JAN2019|2019-01
01/20/2019|634593|15209|61518|0|0|3461|0|0|0|1222|25582|0|0|0|0|30480382872.00|0.00|199949081479.00|676971341354.00|0.00|106992|907400805705.00|0|0|JAN2019|2019-01
01/21/2019|634951|102918|439529|0|0|8767|0|0|0|16134|185442|29890|0|0|0|350877125289.00|0.00|8390899605665.00|10035143052948.00|9196509856023.00|782680|27973429639925.00|0|0|JAN2019|2019-01
01/22/2019|635357|95098|388025|0|0|6205|0|0|0|15142|176837|25897|0|0|0|194073340608.00|0.00|6924262302833.00|9461566214027.00|8508517193338.00|707204|25088419050806.00|0|0|JAN2019|2019-01
01/23/2019|635792|92919|367909|0|0|5132|0|0|0|13934|164953|24124|0|0|0|199192451070.00|0.00|6380203496929.00|8506445034096.00|7459007116487.00|668971|22544848098582.00|0|0|JAN2019|2019-01
01/24/2019|636177|92890|364929|0|0|5782|0|0|0|14064|168699|24965|0|0|0|257431514178.00|0.00|6216865504845.00|8481479283843.00|6763408203742.00|671329|21719184506608.00|0|0|JAN2019|2019-01
01/25/2019|636612|104008|389650|0|0|6476|0|0|0|15419|241892|34087|0|0|0|326191629406.00|0.00|7785398848349.00|10683003471045.00|9256982141853.00|791532|28051576090653.00|0|0|JAN2019|2019-01
