date|usermb|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
12/31/2018|20351571|3796807|647624|0|21094|133130|0|203425|2422266|0|0|0|4.1615208E12|1554|19983|132284501578.00|13198404000.00|0.00|0.00|0.00|7203252|4307003727694.00|1554|19983|DEC2018|2018-12
01/01/2019|20353793|2773123|436187|0|3916|126046|0|166818|1784071|0|0|0|2.2316896E12|0|9463|105925074397.00|11341352500.00|0.00|0.00|0.00|5286245|2348956060802.00|0|9463|JAN2019|2019-01
01/02/2019|20373559|3770027|654142|0|23064|163802|0|193334|2458753|0|0|0|4.672164E12|9200|30034|191375122840.00|12594959000.00|0.00|0.00|0.00|7240058|4876134096473.00|9200|30034|JAN2019|2019-01
01/03/2019|20392700|3765572|663839|0|22926|158479|0|183442|2482648|0|0|0|4.9285604E12|5730|42915|185998418226.00|11825420500.00|0.00|0.00|0.00|7253980|5126384268887.00|5730|42915|JAN2019|2019-01
01/04/2019|20411315|3800267|665887|0|22414|162626|0|181177|2538812|0|0|0|5.1420914E12|14831|112138|180419030930.00|11691644500.00|0.00|0.00|0.00|7348769|5334202074444.00|14831|112138|JAN2019|2019-01
01/05/2019|20414062|3270726|533411|0|4843|137296|0|169376|2298594|0|0|0|4.057402E12|1268|44710|125875902768.00|11021182000.00|0.00|0.00|0.00|6409403|4194299129427.00|1268|44710|JAN2019|2019-01
01/06/2019|20415770|2640289|401565|0|3124|120489|0|154760|1784810|0|0|0|2.4950018E12|268|32449|93379210885.00|10113202500.00|0.00|0.00|0.00|5101913|2598494240590.00|268|32449|JAN2019|2019-01
01/07/2019|20435318|3786380|655166|0|22757|159841|0|181743|2557358|0|0|0|5.491849E12|22425|141464|165014516498.00|11643316000.00|0.00|0.00|0.00|7340488|5668506787203.00|22425|141464|JAN2019|2019-01
01/08/2019|20452728|3623546|624837|0|20997|144533|0|171616|2454976|0|0|0|5.1781536E12|12745|51289|149162417482.00|10887932000.00|0.00|0.00|0.00|7019508|5338203941237.00|12745|51289|JAN2019|2019-01
01/09/2019|20468833|3514895|602333|0|19542|144974|0|174161|2424537|0|0|0|4.929377E12|2250|26018|156465497490.00|11189463000.00|0.00|0.00|0.00|6860900|5097031930382.00|2250|26018|JAN2019|2019-01
01/10/2019|20484022|3679575|633082|0|18474|152102|0|173825|2524335|0|0|0|5.0727738E12|1837|68518|164092096489.00|11221798000.00|0.00|0.00|0.00|7162919|5248087656228.00|1837|68518|JAN2019|2019-01
01/11/2019|20499354|3573438|615807|0|18658|142336|0|183271|2477800|0|0|0|5.0290054E12|718|49783|141106312080.00|11817628500.00|0.00|0.00|0.00|6992652|5181929311531.00|718|49783|JAN2019|2019-01
01/12/2019|20501764|3067227|493047|0|4302|119178|0|164493|2243868|0|0|0|3.9267197E12|0|17367|93769417113.00|10571770500.00|0.00|0.00|0.00|6087813|4031060923535.00|0|17367|JAN2019|2019-01
01/13/2019|20503183|2463780|370482|0|2681|102940|0|148046|1707207|0|0|0|2.3330217E12|0|12002|69462095539.00|9628317500.00|0.00|0.00|0.00|4792455|2412112102060.00|0|12002|JAN2019|2019-01
01/14/2019|20520268|3958835|581696|0|19817|122761|0|160294|2276283|0|0|0|4.6937741E12|7608|22293|126942848897.00|10215968000.00|0.00|0.00|0.00|7099869|4830932897496.00|7608|22293|JAN2019|2019-01
01/15/2019|20536331|3703795|634149|0|19364|129297|0|170284|2439242|0|0|0|5.0883883E12|1395|19871|139939308474.00|10840963500.00|0.00|0.00|0.00|7076767|5239168587440.00|1395|19871|JAN2019|2019-01
01/16/2019|20551083|3488304|592947|0|17806|121577|0|152901|2367753|0|0|0|4.7545425E12|250|19628|130137616177.00|10047166500.00|0.00|0.00|0.00|6723482|4894727284333.00|250|19628|JAN2019|2019-01
01/17/2019|20565701|3354047|562382|0|17653|132372|0|170424|2332198|0|0|0|4.6488814E12|4158|27778|148522927038.00|10949193000.00|0.00|0.00|0.00|6551423|4808353502090.00|4158|27778|JAN2019|2019-01
01/18/2019|20580209|3458113|586477|0|17662|134599|0|170855|2359494|0|0|0|4.7406888E12|3550|16588|166216714837.00|10955429000.00|0.00|0.00|0.00|6709538|4917860953004.00|3550|16588|JAN2019|2019-01
01/19/2019|20582536|3176488|568329|0|4179|134755|0|171013|2246689|0|0|0|3.8226535E12|250|10296|138986409429.00|11311714000.00|0.00|0.00|0.00|6297274|3972951629297.00|250|10296|JAN2019|2019-01
01/20/2019|20584010|2601632|403792|0|2879|146609|0|152562|1767112|0|0|0|2.3607742E12|1020|14486|126497311413.00|10105418500.00|0.00|0.00|0.00|5071707|2497376918080.00|1020|14486|JAN2019|2019-01
01/21/2019|20600363|3563911|614364|0|18937|155137|0|175574|2408218|0|0|0|5.0129323E12|1850|27402|188588767710.00|11331075000.00|0.00|0.00|0.00|6917204|5212852126016.00|1850|27402|JAN2019|2019-01
