jnstrans|peserta|date|appsales|appvoid|decsales|decvoid|decbebas|Nappsales|Nappvoid|Total|Ntotal|bln|mth
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA ----------------------------------------------------------|----------------------------------------------------------|12/31/2018||||||||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA A G R I S|A G R I S|12/31/2018|9|||||4412788||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD BNTEN|BPD BNTEN|12/31/2018|158|||||85366817||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD DIY|BPD DIY|12/31/2018|515|||||275944471||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD JATENG|BPD JATENG|12/31/2018|1776|||||861445016||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD KALTIM|BPD KALTIM|12/31/2018|1102|||||639940204||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BRI SYARH|BRI SYARH|12/31/2018|987|||||452433327||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BUMI ARTA|BUMI ARTA|12/31/2018|35|||||20978825||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA CCB INSIA|CCB INSIA|12/31/2018|128|||||37223012||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA CTBC INDNS|CTBC INDNS|12/31/2018|19|||||6133469||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA D K I|D K I|12/31/2018|0|||||0||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA H A N A|H A N A|12/31/2018|945|||||435460573||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA HSBC IN|HSBC IN|12/31/2018|562|||||335398553||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA J A T I M|J A T I M|12/31/2018|1788|||||888485966||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA JABAR|JABAR|12/31/2018|179|||||86841776||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA JASA JKT|JASA JKT|12/31/2018|32|||||7160087||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA JTRUST IND|JTRUST IND|12/31/2018|62|||||28617869||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA KALBAR|KALBAR|12/31/2018|376|||||378406913||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA MASPION|MASPION|12/31/2018|116|||||43327465||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA MAYAPADA|MAYAPADA|12/31/2018|277|||||121883592||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA MEGA SYARH|MEGA SYARH|12/31/2018|200|||||49544519||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA MUAMALAT|MUAMALAT|12/31/2018|1580|||||879184304||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA NAGARI|NAGARI|12/31/2018|251|||||173679891||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA NISP|NISP|12/31/2018|2841|||||1234886532||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA NUSANTARA|NUSANTARA|12/31/2018|123|||||53277601||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA PAPUA|PAPUA|12/31/2018|686|||||724373392||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA R I A U|R I A U|12/31/2018|792|||||544871956||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA RABOBANK|RABOBANK|12/31/2018|59|||||30603165||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA ROYAL|ROYAL|12/31/2018|1|||||347900||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA SAHABAT|SAHABAT|12/31/2018|37|||||11134602||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA SBI INDONE|SBI INDONE|12/31/2018|15|||||3506715||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA SULSELBAR|SULSELBAR|12/31/2018|402|||||204573729||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA SUMSELBABL|SUMSELBABL|12/31/2018|1408|||||852357728||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA SY MANDIRI|SY MANDIRI|12/31/2018|2629|||||1179636123||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA VICTORIA|VICTORIA|12/31/2018|216|||||60087738||||DEC2018|2018-12
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA ----------------------------------------------------------|----------------------------------------------------------|01/01/2019||||||||||JAN2019|2019-01
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA A G R I S|A G R I S|01/01/2019|9|||||2326492||||JAN2019|2019-01
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD BNTEN|BPD BNTEN|01/01/2019|276|||||177349286||||JAN2019|2019-01
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD DIY|BPD DIY|01/01/2019|566|||||222382752||||JAN2019|2019-01
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD JATENG|BPD JATENG|01/01/2019|2408|||||1225634490||||JAN2019|2019-01
TRANSAKSI SWITCHING POS NASABAH BANK LAIN DI POS BCA BPD KALTIM|BPD KALTIM|01/01/2019|1000|||||503557137||||JAN2019|2019-01
