date|sldebit|slmaestro|slSwitch|slSyariah|vddebit|vdmaestro|vdswitch|vdsyariah|cashb|tunaionly|berhasil|seluruh|TotSal|TotVoid|NomSalDeb|NomSalMae|NomSalSwi|NomSalSy|NomVoDeb|NomVoMae|NomVoSwi|NomVoSy|NomCashB|NomTunai|NomTotApp|NomTotAll|NomTotSal|NomTotVoid|bln|mth
12/31/2018|111224|1158|0|823|267735|5603|4389|1|0|0|171|4|113205|277728|442248900644|938735776|0|326733578|123607781917|2411962441|569381637|50000|0|0|0|0|443514369998|126589175995|DEC2018|2018-12
01/01/2019|981093|987|0|829|273616|5450|1662|2|0|1|151|5|982909|280730|339274857827|918741984|0|289671004|122275974336|2403073011|523979497|15200|0|398000|0|0|340483270815|125203042044|JAN2019|2019-01
01/02/2019|949607|1113|0|779|225279|3987|4950|0|0|0|155|3|951499|234216|441846219232|930575958|0|307390468|109236801867|1781436273|576882067|0|0|0|0|0|443084185658|111595120207|JAN2019|2019-01
01/03/2019|938013|1136|0|736|348593|3704|5876|0|0|0|155|1|939885|358173|456014973096|930283468|0|272849036|157605099453|1633612181|1421972515|0|0|0|0|0|457218105600|160660684149|JAN2019|2019-01
01/04/2019|967300|1004|0|816|367719|3940|6076|2|0|2|161|3|969120|377737|463837595923|912375722|0|288261098|155389348941|1687656415|631345246|6380250|0|551000|0|0|465038232743|157714730852|JAN2019|2019-01
01/05/2019|130860|1069|0|975|490438|5673|3146|2|0|0|170|3|132904|499259|529731585690|872234479|0|338678688|199354392907|2642409347|899267072|60000|0|0|0|0|530942498857|202896129326|JAN2019|2019-01
01/06/2019|50928|953|0|904|527146|5356|1576|2|0|1|122|5|52785|534080|410494188526|838560701|0|259247566|177028639174|2372816459|611240803|7070000|0|67500|0|0|411591996793|180019766436|JAN2019|2019-01
01/07/2019|845295|888|0|631|326225|3084|5654|1|0|1|151|1|846814|334964|452225825473|822468365|0|231921478|119968511100|1314101922|890016362|15000|0|420000|0|0|453280215316|122172644384|JAN2019|2019-01
01/08/2019|841512|921|0|699|334495|3045|6584|3|0|1|168|8|843132|344127|461642678291|668954726|0|258026197|120723019829|1333358239|4133924721|21000|0|200000|0|0|462569659214|126190323789|JAN2019|2019-01
01/09/2019|855200|806|0|684|312647|3170|6518|1|0|2|145|4|856690|322336|456392895854|676313739|0|230788272|115806574102|1412501358|2435425009|50000|0|100000|0|0|457299997865|119654550469|JAN2019|2019-01
01/10/2019|877944|839|0|764|275426|3259|6738|1|0|0|183|1|879547|285424|457447686589|640702098|0|292413278|107597792205|1494128585|2157640483|15000|0|0|0|0|458380801965|111249576273|JAN2019|2019-01
01/11/2019|907883|748|0|732|280975|3517|6223|2|0|0|156|2|909363|290717|457459924153|667320529|0|292760884|112766768004|1525126237|619315440|832778|0|0|0|0|458420005566|114912042459|JAN2019|2019-01
01/12/2019|108985|792|1|991|378315|5497|3082|2|0|2|156|8|110769|386896|540714166361|601456241|220000|385996186|160178286196|2419792910|625094906|1622000|0|515200|0|0|541701838788|163224796012|JAN2019|2019-01
01/13/2019|992748|812|0|870|338996|5092|1503|2|0|1|125|1|994430|345593|405724488303|591819779|0|343040816|131323969589|2247982835|469244852|3149980|0|50000|0|0|406659348898|134044347256|JAN2019|2019-01
01/14/2019|820806|703|0|680|221547|2937|5831|3|0|0|131|1|822189|230318|428908934262|614525267|0|358552389|91082064372|1286639071|660490877|101000|0|0|0|0|429882011918|93029295320|JAN2019|2019-01
01/15/2019|832940|706|0|617|219172|2960|6437|4|0|2|154|2|834263|228573|443767023719|598072158|0|266280023|93754081655|1292813482|3270322360|3941225|0|1625000|0|0|444631375900|98321158722|JAN2019|2019-01
01/16/2019|823424|764|0|632|203873|2961|6082|2|0|3|155|3|824820|212918|428909479517|541969194|0|223388439|90738255605|1257237866|2253074077|512500|0|5352500|0|0|429674837150|94249080048|JAN2019|2019-01
01/17/2019|824178|791|0|655|205566|2953|6025|1|0|1|133|5|825624|214545|429855574753|583329263|0|252804092|92183941103|1309858123|2271595519|1000|0|250000|0|0|430691708108|95765395745|JAN2019|2019-01
01/18/2019|878049|772|0|699|222902|3530|6041|1|0|1|155|3|879520|232474|432732548074|602114443|0|277536179|97636702662|1575316998|860599544|1200000|0|475000|0|0|433612198696|100073819204|JAN2019|2019-01
01/19/2019|94218|801|0|965|316903|5701|3029|3|0|1|166|2|95984|325636|517055987404|633962541|0|398890806|146303628073|2639299863|703415355|40000|0|319000|0|0|518088840751|149646383291|JAN2019|2019-01
01/20/2019|26567|689|0|852|308870|5662|1541|1|0|1|135|3|28108|316074|406315076376|505939202|0|265421130|125035894194|2421698377|606875495|1909380|0|482161|0|0|407086436708|128066377446|JAN2019|2019-01
01/21/2019|774052|681|0|684|167382|2728|5333|2|0|0|139|4|775417|175445|399352364743|568210431|0|277437156|78178988405|1269608471|829642896|10100|0|0|0|0|400198012330|80278249872|JAN2019|2019-01
01/22/2019|798268|766|0|682|178049|2774|6262|1|0|0|155|3|799716|187086|415394670020|591249747|0|232584353|81443683800|1195951866|3774199553|100000|0|0|0|0|416218504120|86413935219|JAN2019|2019-01
01/23/2019|837954|748|0|637|191497|3117|5823|2|0|1|163|1|839339|200439|425952364903|614351036|0|266560994|87924701349|1431889910|1870494949|2395000|0|450000|0|0|426833276933|91229481208|JAN2019|2019-01
01/24/2019|813268|757|0|640|181565|3181|6287|0|0|1|149|2|814665|191033|417171198933|572046384|0|221580940|86126727104|1455266271|2234006662|0|0|500000|0|0|417964826257|89816000037|JAN2019|2019-01
01/25/2019|976028|774|0|887|234887|5109|5537|2|0|0|199|3|977689|245535|455691764380|541911207|0|300400194|104669486037|2177999092|714833141|3309000|0|0|0|0|456534075781|107565627270|JAN2019|2019-01
01/26/2019|294464|832|1|1206|336601|7477|3393|0|0|0|202|2|296503|347471|597136651543|635008709|269456|504887878|157923537896|3427725145|1093013771|0|0|0|0|0|598276817586|162444276812|JAN2019|2019-01
01/27/2019|175730|772|0|1107|310899|7157|1617|1|0|3|173|3|177609|319674|464958114817|581256574|0|423626847|133826218667|3183928229|590361183|15000|0|3561500|0|0|465962998238|137600523079|JAN2019|2019-01
01/28/2019|973278|853|0|745|193041|3982|5411|0|0|1|174|2|974876|202434|464355508307|578107781|0|288662788|88172335182|1819998481|732182563|0|0|320000|0|0|465222278876|90724516226|JAN2019|2019-01
01/29/2019|958104|784|0|786|200862|3787|5831|1|0|0|167|2|959674|210481|469418695423|563392533|0|289168017|92113505681|1660112040|3594335399|1000|0|0|0|0|470271255973|97367954120|JAN2019|2019-01
01/30/2019|948914|762|0|741|193762|3829|5438|2|0|1|144|6|950417|203031|458886786367|486462583|0|283042936|90348286073|1720402675|1674729547|60000|0|7586000|0|0|459656291886|93743478295|JAN2019|2019-01
01/31/2019|5928|804|0|719|195788|3919|5119|1|0|0|201|5|7451|204827|483171356198|620241821|0|311095841|93464704009|1822542891|1870045037|205000|0|0|0|0|484102693860|97157496937|JAN2019|2019-01
