jnstrans|date|CASHOUT|COIDR|CASHIN|CIIDR|bln|mth
TELLER - PINPAD|12/31/2018|58163|5931125870892|0|0|DEC2018|2018-12
TELLER - NON PINPAD|12/31/2018|104949|23163423221504|416565|25203057988572|DEC2018|2018-12
TELLER - PINPAD|01/01/2019|0|0|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/01/2019|0|0|0|0|JAN2019|2019-01
TELLER - PINPAD|01/02/2019|61211|6720034592520|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/02/2019|88855|25306070042659|370807|23855238777140|JAN2019|2019-01
TELLER - PINPAD|01/03/2019|64793|6870496407495|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/03/2019|91903|25625607790535|367920|22452845183691|JAN2019|2019-01
TELLER - PINPAD|01/04/2019|74328|7507300470605|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/04/2019|107991|24208826318775|420078|23021941229354|JAN2019|2019-01
TELLER - PINPAD|01/05/2019|0|0|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/05/2019|0|0|0|0|JAN2019|2019-01
TELLER - PINPAD|01/06/2019|0|0|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/06/2019|0|0|0|0|JAN2019|2019-01
TELLER - PINPAD|01/07/2019|88479|9502070970847|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/07/2019|141875|25525740490059|544834|28612769045510|JAN2019|2019-01
TELLER - PINPAD|01/08/2019|71842|7548319893716|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/08/2019|112290|24509592625942|416689|21769655846993|JAN2019|2019-01
TELLER - PINPAD|01/09/2019|64526|6835938875023|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/09/2019|105446|22613305604047|389035|21058743986558|JAN2019|2019-01
TELLER - PINPAD|01/10/2019|66343|7025472004783|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/10/2019|119079|25462287163404|414680|21858035620083|JAN2019|2019-01
TELLER - PINPAD|01/11/2019|74370|7778147702929|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/11/2019|119055|25055844079303|412773|21786521379893|JAN2019|2019-01
TELLER - PINPAD|01/12/2019|0|0|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/12/2019|0|0|0|0|JAN2019|2019-01
TELLER - PINPAD|01/13/2019|0|0|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/13/2019|0|0|0|0|JAN2019|2019-01
TELLER - PINPAD|01/14/2019|82722|9009266197122|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/14/2019|142348|25017189144670|518667|27039756099012|JAN2019|2019-01
TELLER - PINPAD|01/15/2019|70730|7561640399957|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/15/2019|123863|24846537039914|423565|21464818575788|JAN2019|2019-01
TELLER - PINPAD|01/16/2019|63243|6825075671204|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/16/2019|103280|20459484655828|353340|18718393054612|JAN2019|2019-01
TELLER - PINPAD|01/17/2019|62920|6883919678884|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/17/2019|103487|21163712198632|341717|19704627947123|JAN2019|2019-01
TELLER - PINPAD|01/18/2019|72250|7659524995086|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/18/2019|120688|24632676905923|394838|22222572637895|JAN2019|2019-01
TELLER - PINPAD|01/19/2019|0|0|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/19/2019|0|0|0|0|JAN2019|2019-01
TELLER - PINPAD|01/20/2019|0|0|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/20/2019|0|0|0|0|JAN2019|2019-01
TELLER - PINPAD|01/21/2019|80111|8555537548060|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/21/2019|147099|25311840436804|502825|26838660041847|JAN2019|2019-01
TELLER - PINPAD|01/22/2019|66133|7022643354323|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/22/2019|108387|24786848238567|369741|22144844025149|JAN2019|2019-01
TELLER - PINPAD|01/23/2019|63905|6694196424970|0|0|JAN2019|2019-01
TELLER - NON PINPAD|01/23/2019|101787|24450230452161|341101|21599244610490|JAN2019|2019-01
TELLER - PINPAD|01/24/2019|64927|6681374731824|0|0|JAN2019|2019-01
