jnstrans|date|tunai|cashadv|ceksaldo|payment|berhasil|seluruh|Ntunai|Ncashadv|Nceksaldo|Npayment|Nberhasil|Nseluruh|bln|mth
TRANSAKSI ATM DAN ATMKIOS BCA|12/31/2018|0|0|31288|5857|37145|38471|0|0|0|13174896029.00|0.00|0.00|DEC2018|2018-12
TRANSAKSI ATM DAN ATMKIOS BCA|01/01/2019|0|0|15642|3417|19059|19752|0|0|0|6386744186.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/02/2019|0|0|34695|9285|43980|45422|0|0|0|23214747506.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/03/2019|0|0|34861|9512|44373|46056|0|0|0|23115371692.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/04/2019|0|0|36102|10160|46262|47874|0|0|0|21141557019.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/05/2019|0|0|26525|6459|32984|34036|0|0|0|12065244677.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/06/2019|0|0|17274|4559|21833|22587|0|0|0|7647760355.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/07/2019|0|0|36289|11945|48234|49815|0|0|0|21230960634.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/08/2019|0|0|32392|10027|42419|43814|0|0|0|17936926276.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/09/2019|0|0|30368|9553|39921|41155|0|0|0|17842299867.00|0.00|0.00|JAN2019|2019-01
TRANSAKSI ATM DAN ATMKIOS BCA|01/10/2019|0|0|31064|9726|40790|42164|0|0|0|20129588634.00|0.00|0.00|JAN2019|2019-01
