jnstrans|date|idr|sgd|usd|NomIdr|NomSgd|NomUsd|total|bln|mth
TRANSAKSI TRANSFER VIA ATM|12/31/2018|1628709|39|595|4457788560994.00|518336999.00|4817556967.00|1629343|DEC2018|2018-12
TRANSAKSI TRANSFER VIA ATM|01/01/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/02/2019|940670|25|382|2515047548977.00|248821543.00|3177114701.00|941077|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/03/2019|589357|22|290|1865351830702.00|175998138.00|2593615729.00|589669|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/04/2019|611073|44|351|2026443904122.00|542675686.00|3154632370.00|611468|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/05/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/06/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/07/2019|1573680|67|735|4699033217231.00|755530625.00|6894250034.00|1574482|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/08/2019|574062|25|318|2013111800803.00|184169195.00|2778402785.00|574405|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/09/2019|572391|20|271|1940481289747.00|160199500.00|2579111187.00|572682|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/10/2019|570178|26|303|1919641324916.00|358239165.00|2625290021.00|570507|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/11/2019|569123|18|284|1959072390065.00|343758774.00|2628622688.00|569425|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/12/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/13/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/14/2019|1471237|48|665|4543761000168.00|560997050.00|5463398676.00|1471950|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/15/2019|563592|22|266|1999507147248.00|236850000.00|2495774975.00|563880|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/16/2019|539781|14|282|1851863133684.00|133784055.00|2396177356.00|540077|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/17/2019|537327|16|272|1836369251707.00|137171285.00|2452148817.00|537615|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/18/2019|512182|8|282|1813978873389.00|77000000.00|2496492697.00|512472|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/19/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/20/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/21/2019|1402749|33|666|4229032995176.00|419159250.00|5391856330.00|1403448|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/22/2019|510226|12|272|1817014862547.00|117198510.00|2299771377.00|510510|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/23/2019|528538|15|243|1796838417711.00|71874000.00|2156117109.00|528796|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/24/2019|496961|16|252|1723933799612.00|132831901.00|2248256965.00|497229|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/25/2019|623428|17|259|2009122183173.00|170745000.00|2148100708.00|623704|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/26/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/27/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/28/2019|1657667|43|620|4704909502451.00|315698913.00|5580661029.00|1658330|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/29/2019|623898|11|289|2082705011626.00|62000000.00|2606239413.00|624198|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/30/2019|619021|15|303|2007718623128.00|147782000.00|2871117169.00|619339|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|01/31/2019|722627|15|351|2258102578508.00|106428744.00|3603459317.00|722993|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM|02/01/2019|766497|23|402|2386707376628.00|328110596.00|3524178820.00|766922|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/02/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/03/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/04/2019|1753691|52|757|4761696250004.00|307459838.00|6771973913.00|1754500|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/05/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/06/2019|1013314|38|514|2687256693097.00|171420478.00|4326610052.00|1013866|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/07/2019|578634|17|312|1807250504783.00|65538721.00|2964740669.00|578963|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/08/2019|585271|16|295|1922926079043.00|71146020.00|2555867911.00|585582|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/09/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/10/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/11/2019|1514365|33|735|4432979258669.00|270934100.00|6411195248.00|1515133|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/12/2019|560825|18|317|1923278670514.00|110250000.00|2849604854.00|561160|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/13/2019|552223|21|290|1827145240795.00|181950000.00|2669929715.00|552534|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/14/2019|533158|14|292|1796927387666.00|103884800.00|2576054403.00|533464|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/15/2019|541295|20|286|1855131855344.00|173294000.00|2571162985.00|541601|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/16/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/17/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/18/2019|1447999|31|703|4364925742835.00|248647000.00|5202084774.00|1448733|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/19/2019|530809|18|272|1845974718656.00|117678140.00|2216139744.00|531099|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/20/2019|541519|19|264|1822453633339.00|139870566.00|2014833902.00|541802|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/21/2019|514474|8|261|1763199232975.00|35900000.00|1935076392.00|514743|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/22/2019|516826|13|241|1818976591787.00|147000000.00|1956646256.00|517080|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/23/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/24/2019|0|0|0|0.00|0.00|0.00|0|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/25/2019|1503910|27|712|4552162169777.00|135425650.00|5850364535.00|1504649|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/26/2019|603265|20|288|2095287003233.00|253560540.00|2601091396.00|603573|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/27/2019|628823|13|290|2100785122926.00|111384900.00|2588798691.00|629126|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|02/28/2019|849810|12|333|2526686423304.00|122218224.00|3550203059.00|850155|FEB2019|2019-02
TRANSAKSI TRANSFER VIA ATM|03/01/2019|781371|14|380|2343130358051.00|76691845.00|4071188489.00|781765|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/02/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/03/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/04/2019|1865743|35|783|5113626116960.00|234279143.00|7900948054.00|1866561|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/05/2019|640063|16|362|2071053359299.00|130954504.00|3313030339.00|640441|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/06/2019|594236|25|302|1907390055387.00|158394988.00|3016801367.00|594563|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/07/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/08/2019|1065922|34|529|3290140522030.00|294679000.00|4833606160.00|1066485|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/09/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/10/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/11/2019|1574332|40|737|4659785722393.00|357788827.00|6283866613.00|1575109|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/12/2019|561279|9|280|1962066569810.00|113860780.00|2484444273.00|561568|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/13/2019|563731|18|299|1887406464988.00|127404606.00|2650818869.00|564048|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/14/2019|551580|14|258|1874543290756.00|104675150.00|2278737576.00|551852|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/15/2019|569929|14|278|1989669601770.00|138150000.00|2540736526.00|570221|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/16/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/17/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/18/2019|1468894|34|682|4434461623104.00|200113007.00|5391459115.00|1469610|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/19/2019|548478|14|306|1953465658803.00|45770000.00|2499888878.00|548798|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/20/2019|557231|9|276|1889022483170.00|57500000.00|2222193426.00|557516|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/21/2019|515754|11|247|1761356004912.00|78023229.00|2390825570.00|516012|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/22/2019|529885|14|285|1860336032009.00|65307970.00|2711906084.00|530184|MAR2019|2019-03
TRANSAKSI TRANSFER VIA ATM|03/23/2019|0|0|0|0.00|0.00|0.00|0|MAR2019|2019-03
