jnstrans|date|idr|sgd|usd|NomIdr|NomSgd|NomUsd|total|bln|mth
TRANSAKSI TRANSFER VIA ATM KIOS|12/31/2018|105893|9|75|622356755964.00|28425083.00|703822858.00|105977|DEC2018|2018-12
TRANSAKSI TRANSFER VIA ATM KIOS|01/01/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/02/2019|64326|8|42|374679832217.00|31372136.00|286904836.00|64376|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/03/2019|49370|0|46|317564823634.00|0.00|338830614.00|49416|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/04/2019|52650|11|47|349618808755.00|29450444.00|510604681.00|52708|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/05/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/06/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/07/2019|112048|19|74|689732965690.00|38119145.00|1153712498.00|112141|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/08/2019|48642|8|27|329140542221.00|10077823.00|276053750.00|48677|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/09/2019|45349|1|25|300410059506.00|50000000.00|198972200.00|45375|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/10/2019|45110|17|48|307405884117.00|17677033.00|383211280.00|45175|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/11/2019|45131|8|36|315179631323.00|8312720.00|451935199.00|45175|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/12/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/13/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/14/2019|101449|5|58|644497657860.00|56010000.00|492036156.00|101512|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/15/2019|46383|8|31|317104214986.00|12283004.00|301953655.00|46422|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/16/2019|40784|9|28|278940613295.00|18837264.00|214625794.00|40821|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/17/2019|40686|0|22|280724159505.00|0.00|223310245.00|40708|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/18/2019|42435|2|27|303566285600.00|3500000.00|229095000.00|42464|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/19/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/20/2019|0|0|0|0.00|0.00|0.00|0|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/21/2019|94672|9|43|608675946358.00|15361736.00|310868580.00|94724|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/22/2019|40496|3|27|288532712418.00|21508825.00|221555972.00|40526|JAN2019|2019-01
TRANSAKSI TRANSFER VIA ATM KIOS|01/23/2019|39524|0|24|277400218122.00|0.00|265012431.00|39548|JAN2019|2019-01
