jnstrans|date|txn|idr|bln|mth
VISA - LOCAL|12/31/2018|35|38800000|DEC2018|2018-12
VISA - INTERNATIONAL|12/31/2018|1985|2312200000|DEC2018|2018-12
PLUS - LOCAL|12/31/2018|197|204850000|DEC2018|2018-12
PLUS - INTERNATIONAL|12/31/2018|2987|3526450000|DEC2018|2018-12
CIRRUS MASTER NON ISIS|12/31/2018|9738|0|DEC2018|2018-12
CIRRUS MASTER ISIS|12/31/2018|1379|1422200000|DEC2018|2018-12
VISA - LOCAL|01/01/2019|25|26150000|JAN2019|2019-01
VISA - INTERNATIONAL|01/01/2019|1558|1661650000|JAN2019|2019-01
PLUS - LOCAL|01/01/2019|160|145350000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/01/2019|2215|2465700000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/01/2019|2696|3019250000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/01/2019|365|368300000|JAN2019|2019-01
VISA - LOCAL|01/02/2019|46|57500000|JAN2019|2019-01
VISA - INTERNATIONAL|01/02/2019|1896|2215100000|JAN2019|2019-01
PLUS - LOCAL|01/02/2019|209|248900000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/02/2019|2920|3514500000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/02/2019|5819|6794150000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/02/2019|964|1089900000|JAN2019|2019-01
VISA - LOCAL|01/03/2019|56|66150000|JAN2019|2019-01
VISA - INTERNATIONAL|01/03/2019|1910|2238400000|JAN2019|2019-01
PLUS - LOCAL|01/03/2019|218|250900000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/03/2019|3003|3595000000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/03/2019|3360|4351350000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/03/2019|607|687700000|JAN2019|2019-01
VISA - LOCAL|01/04/2019|52|65150000|JAN2019|2019-01
VISA - INTERNATIONAL|01/04/2019|1875|2133700000|JAN2019|2019-01
PLUS - LOCAL|01/04/2019|227|268800000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/04/2019|3103|3889300000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/04/2019|3208|3933050000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/04/2019|674|748250000|JAN2019|2019-01
VISA - LOCAL|01/05/2019|61|68600000|JAN2019|2019-01
VISA - INTERNATIONAL|01/05/2019|1718|1900200000|JAN2019|2019-01
PLUS - LOCAL|01/05/2019|193|175150000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/05/2019|2878|3415600000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/05/2019|2978|3677850000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/05/2019|693|653700000|JAN2019|2019-01
VISA - LOCAL|01/06/2019|40|34550000|JAN2019|2019-01
VISA - INTERNATIONAL|01/06/2019|1582|1747450000|JAN2019|2019-01
PLUS - LOCAL|01/06/2019|213|225350000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/06/2019|2516|2763650000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/06/2019|2594|3098350000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/06/2019|641|678600000|JAN2019|2019-01
VISA - LOCAL|01/07/2019|44|56450000|JAN2019|2019-01
VISA - INTERNATIONAL|01/07/2019|1786|2074150000|JAN2019|2019-01
PLUS - LOCAL|01/07/2019|208|224200000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/07/2019|2739|3199500000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/07/2019|8560|0|JAN2019|2019-01
CIRRUS MASTER ISIS|01/07/2019|2066|2146550000|JAN2019|2019-01
VISA - LOCAL|01/08/2019|28|28800000|JAN2019|2019-01
VISA - INTERNATIONAL|01/08/2019|1589|1847850000|JAN2019|2019-01
PLUS - LOCAL|01/08/2019|196|194800000|JAN2019|2019-01
